cncode_id,cncode,cncode_active,commodity_id
2,1509 20 00,1,5
3,1509 30 00,1,5
4,1509 40 00,1,5
5,0703 20 00,1,13
6,0711 51 00,1,4
7,2003 10 20,1,4
8,2003 10 30,1,4
9,ex2207 10 00,1,7
10,ex2207 20 00,1,7
11,ex2208 90 91,1,7
12,ex2208 90 99,1,7
13,ex1207 99 20,1,6
14,1207 99 91,1,6
15,5302 10 00,1,6
16,0407 21 00,1,11
17,0407 29 10,1,11
18,0407 90 10,1,11
19,0408 11 80,1,11
20,0408 19 81,1,11
21,0408 19 89,1,11
22,0408 91 80,1,11
23,0408 99 80,1,11
24,3502 11 90,1,11
25,3502 19 90,1,11
26,3502 20 91,1,11
27,3502 20 99,1,11
28,1006 20 11,1,1
29,1006 20 13,1,1
30,1006 20 15,1,1
31,1006 20 17,1,1
32,1006 20 19,1,1
33,1006 20 92,1,1
34,1006 20 94,1,1
35,1006 20 96,1,1
36,1006 20 98,1,1
37,1006 20 99,1,1
38,1006 30 21,1,1
39,1006 30 23,1,1
40,1006 30 25,1,1
41,1006 30 27,1,1
42,1006 30 29,1,1
43,1006 30 42,1,1
44,1006 30 44,1,1
45,1006 30 46,1,1
46,1006 30 48,1,1
47,1006 30 49,1,1
48,1006 30 61,1,1
49,1006 30 63,1,1
50,1006 30 65,1,1
51,1006 30 67,1,1
52,1006 30 69,1,1
53,1006 30 92,1,1
54,1006 30 94,1,1
55,1006 30 96,1,1
56,1006 30 98,1,1
57,1006 30 99,1,1
58,1006 40 00,1,1
59,1701 12 10,1,2
60,1701 12 90,1,2
61,1701 13 10,1,2
62,1701 13 90,1,2
63,1701 14 10,1,2
64,1701 14 90,1,2
65,1701 91 00,1,2
66,1701 99 10,1,2
67,1701 99 90,1,2
68,1702 11 00,1,2
69,1702 19 00,1,2
70,1702 20 10,1,2
71,1702 20 90,1,2
72,1702 30 10,1,2
73,1702 30 50,1,2
74,1702 30 90,1,2
75,1702 40 10,1,2
76,1702 40 90,1,2
77,1702 50 00,1,2
78,1702 60 10,1,2
79,1702 60 80,1,2
80,1702 60 95,1,2
81,1702 90 10,1,2
82,1702 90 30,1,2
83,1702 90 50,1,2
84,1702 90 71,1,2
85,1702 90 75,1,2
86,1702 90 79,1,2
87,1702 90 80,1,2
88,1702 90 95,1,2
89,ex1001 99 00,1,3
90,1001 99 00,1,3
91,1005 90 00,1,3
92,1101 00 15,1,3
93,1101 00 90,1,3
94,1102 20 10,1,3
95,1102 90 90,1,3
96,1103 11 90,1,3
97,1103 13 10,1,3
98,1103 13 90,1,3
99,1103 20 40,1,3
100,1103 20 60,1,3
101,1104 23 40,1,3
102,1104 23 98,1,3
103,1003 90 00,1,3
104,1102 90 10,1,3
105,1103 20 25 90,1,3
106,0203 11 10,1,10
107,0203 19 13,1,10
108,0203 21 10,1,10
109,0203 29 13,1,10
110,0203 12 11,1,10
111,0203 19 15,1,10
112,0203 22 11,1,10
113,0203 29 15,1,10
114,0203 12 19,1,10
115,0203 19 55,1,10
116,0203 22 19,1,10
117,0203 29 55,1,10
118,0203 19 11,1,10
119,0203 19 59,1,10
120,0203 29 11,1,10
121,0203 29 59,1,10
122,0203 19 55 15,1,10
123,0203 19 55 25,1,10
124,0203 19 55 30,1,10
125,0203 29 55 20,1,10
126,0203 29 55 30,1,10
127,0203 29 55 92,1,10
128,1602 50 10,1,8
129,1602 50 31,1,8
130,1602 50 95,1,8
131,0102 29 51,1,8
132,0102 29 59,1,8
